"","square1","square2","square3","room","type_house","state","value","currency","dist"
"0","50","30","10","2","monolyth_concrete","euro","76000","$","Solomensky"
"1","104.58","61.72","13.39","3","","from_builders(otdelka)","290000","$","Holosiivsky"
"2","45","35","8","1","ukrainian_brick","euro","83900","$","Shevchenkovsky"
"3","46","23","10","1","monolyth_concrete","euro","73777","$","Darnitsky"
"4","100","55","18","3","ukrainian_brick","euro","129900","$","Darnitsky"
"5","92","42","14","3","panel","good","67000","$","Darnitsky"
"6","64","29","11","2","","good","52500","$","Obolon"
"7","138","88","19","3","ukrainian_brick","euro","150000","$","Sviatoshynsky"
"8","107","52","16","3","monolyth_concrete","from_builders(planirovka)","103000","$","Holosiivsky"
"9","89.09","50.5","12-Mar","3","","from_builders(otdelka)","2245070","uah","Solomensky"
"10","72","40","10","3","monolyth_concrete","euro","199000","$","Pechersky"
"11","73","41","16","3","ukrainian_brick","euro","95000","$","Dneprovsky"
"12","147","80","15","5","ukrainian_brick","euro","255000","$","Shevchenkovsky"
"13","150","74","30","3","Stalinka","euro","265000","$","Pechersky"
"14","95","30","30","3","monolyth_concrete","euro","191000","$","Pechersky"
"15","78","46","12","3","ukrainian_brick","euro","155000","$","Holosiivsky"
"16","43","18","10","1","monolyth_concrete","euro","45999","$","Podolsky"
"17","86","40","12","2","ukrainian_brick","euro","235000","$","Obolon"
"18","137","73","14","3","ukrainian_brick","from_builders(planirovka)","190000","$","Shevchenkovsky"
"19","44","16","14","1","ukrainian_brick","from_builders(planirovka)","34000","$","Holosiivsky"
"20","98","53","12","3","ukrainian_brick","euro","93500","$","Darnitsky"
"21","155","80","15","3","ukrainian_brick","euro","550000","$","Solomensky"
"22","118","80","20","3","","from_builders(planirovka)","345000","$","Shevchenkovsky"
"23","99","60","14","3","ukrainian_brick","from_builders(planirovka)","110000","$","Solomensky"
"24","105","58.4","12-Jun","3","ukrainian_brick","euro","91000","$","Sviatoshynsky"
"25","127","42","45","3","","euro","450000","$","Pechersky"
"26","85","40","16","2","monolyth_concrete","euro","135000","$","Dneprovsky"
"27","63","36","10","2","monolyth_concrete","from_builders(otdelka)","54800","$","Podolsky"
"28","70","44","9","3","panel","cosmetic_repair_needed","73000","$","Holosiivsky"
"29","120","45","15","4","ukrainian_brick","euro","270000","$","Pechersky"
"30","107","41","57","3","ukrainian_brick","euro","299000","$","Shevchenkovsky"
"31","78","48","14","2","ukrainian_brick","euro","168000","$","Obolon"
